阿克苏机场,2019/3/20 21:27,2,阿克苏机场能见度已上升至1200米，浮尘，后续能见度缓慢上升，取消20日07:21发布的01号低能见度机场警报。 
温州机场,2019/3/21 22:46,11,  现在温州机场已闻雷，在机场西方50千米有强的分散的对流云团，范围东西向20千米，南北向15千米，云团顶高10-12千米，以30千米/小时向偏东北方向移动，强度不变，预计北京时间21日22:46至21日23:15以闻雷为主，23:15至22日00:30将出现雷暴伴强降水天气。 
青岛机场,2019/3/21 11:19,1,"青岛机场西北大风天气持续至21日17:00，平均风速：10-13m/s，阵风：15-17m/s,五边及跑道附近存在风切变。"
南宁机场,2019/3/20 5:52,4,受平流雾影响，预计北京时3月20日06:00-09:00，南宁机场能见度在300-800米之间波动，垂直能见度60米。
南宁机场,2019/2/19 22:11,1,预计北京时间2月19日22:00至20日03:00，南宁机场最低云底高60-90米（FEW-SCT量级），短时30米（FEW量级），期间能见度在1500-3000米之间波动。
南宁机场,2019/3/27 8:11,1,预计北京时间27日08:30--10:30，南宁机场有60米--90米之间的低云存在（FEW-SCT量级）。  
昆明机场,2019/3/26 10:03,1,预计北京时间2019年3月26日11:00-19:00期间昆明机场平均风速9-14米/秒，阵风≥17米/秒，其间昆明机场进近区域将出现中度及以上颠簸和低空风切变等伴随天气，提醒注意！
昆明机场,2019/3/20 10:36,1,预计北京时间2019年3月20日11:00-20:00期间昆明机场平均风速9-14米/秒，阵风≥17米/秒，其间昆明机场进近区域将出现中度及以上颠簸和低空风切变等伴随天气，提醒注意。
海拉尔机场,2019/1/30 14:31,1,海拉尔机场出现平均风12米/秒的偏西大风，最大阵风17米/秒，预计持续到北京时间30日20:00，之后平均风速降至10米/秒以下。  
温州机场,2019/3/22 0:41,1,  现在温州机场已出现雷暴天气，在机场东方20千米有弱的成片的对流云团，范围东西向8千米，南北向30千米，云团顶高10-11千米，以25千米/小时向偏东北方向移动，强度减弱，预计北京时间22日00:41至22日01:20影响机场，期间机场将闻雷并伴有弱降水。 
温州机场,2019/3/22 1:00,2,  影响温州机场的对流云团已经移出本场取消22日00:41发布的01号机场警报（雷暴）。 
宁波机场,2019/3/21 12:01,1,在宁波机场偏西处有中等强度的成片雷雨云团，云团顶高，以/小时的速度向东北偏东移动，强度不变，预计北京时间21日12:30 - 21日13:50影响宁波机场。其间宁波机场还将出现强降水，大风，低云低能见度，风切变等伴随天气。 
南宁机场,2019/3/20 3:31,3,受平流雾影响，预计北京时3月20日03:00-06:00，南宁机场能见度在400-800米之间波动，垂直能见度60米。
呼和浩特白塔机场,2019/2/19 11:03,4,呼和浩特白塔机场能见度已上升至1100米， 雪停，霜天气结束。取消19日09:14发布的03和04号机场警报（低云低能见度）。取消霜和降雪的警报。
西安机场,2019/3/20 12:57,1,受冷空气影响，预计北京时间20日13:00 - 14:00咸阳机场一边和五边将出现低空风切变。 
济南机场,2019/3/21 9:08,1,济南机场目前已出现12米/秒的北风，阵风17米/秒。预计北京时间21日09:00 - 21日15:00济南机场将出现12至15米/秒的北风，阵风17至21米/秒，其间济南机场进近及跑道区域还将出现中度以上颠簸、风切变等伴随天气。 
兰州机场,2019/1/30 10:13,1,兰州机场目前已出现小雪天气，以间歇性零星小雪为主，预计将持续至北京时间30日15时，期间能见度最低6公里。
南京机场,2019/3/20 6:00,4,影响南京机场的对流云团已经移出本场，取消之前发布的机场警报（雷暴）。
宁波机场,2019/3/27 6:56,1,目前在宁波机场西面处有强的分散对流云团，云团顶高8，以/小时的速度向偏东移动，强度不变，预计北京时间27日07:10 - 27日08:40影响塔台管制区，机场范围将于
兰州机场,2019/1/30 20:48,3,兰州机场目前已出现小雪天气，以间歇性零星小雪为主，预计将持续至北京时间31日03时，期间能见度最低5公里。
郑州机场,2019/1/30 10:29,2,目前郑州机场大雾天气持续，能见度500米，RVR/12R 800米，RVR/12L 600米，预计北京时1月30日11:00-12:00能见度600-800米，13:00以后能见度渐转至800米以上。
昆明机场,2019/3/21 8:55,1,预计北京时间2019年3月21日09:30-20:00期间昆明机场平均风速9-14米/秒，阵风≥17米/秒，其间昆明机场进近区域将出现中度及以上颠簸和低空风切变等伴随天气，提醒注意。
北京机场,2019/1/30 14:47,2,首都机场目前西北偏西风5-8米/秒，解除前期发布的大风警报。
武汉机场,2019/3/22 16:50,1,预计北京时间22日17:00 - 22日17:50武汉机场将出现中到大雨天气。
南京机场,2019/3/20 4:39,3,"在南京机场西侧距离60KM处有中等强度对流云团 ,云团顶高高度10KM，向偏东方向移动，预计北京时间05:10-06:00影响南京机场，其间 南京机场还将出现强降水等伴随天气。"
大连机场,2019/3/26 21:07,1,北京时间20:43，根据进近报告，在大连机场10号跑道遭遇风切变，强度不明，预计影响大连机场的风切变结束。
厦门机场,2019/3/22 0:19,1, 2019年3月22日00:08发布机场大雾警报：预计机场将短时出现平流雾，北京时间00:30―02:30，机场能见度将降低并出现短时波动，最低能见度300米，伴随低云，云底高90米，02:30能见度上升至3000米，云底高上升至300米。
南昌机场,2019/3/21 8:57,2,受浅层切变影响，本场预计北京时间21日09:00至11:00时有间歇性雷雨天气，雷雨来时伴随短时强降水、风切变、中度以上颠簸等天气，请各单位注意防范。
杭州机场,2019/3/20 18:43,1, 受低涡东移影响，机场西北侧30-50公里处有分散对流云团向东偏南方向移动，云顶高7-9公里。预计20日19：10-20：00本场有干雷暴或弱雷雨，并伴有7-8级雷暴大风。周边机场20日18：00实况：
南宁机场,2019/3/27 6:22,5,预计北京时间27日06:30--10:00，南宁机场最低云底高45米--60米（FEW-SCT量级），短时最低能见度在600米左右。  
合肥机场,2019/3/19 23:50,1,本场目前有雷暴天气，预计持续1小时左右。
昆明机场,2019/1/30 12:08,2,目前本场西南面20-60km范围内有对流云发展，以约100-120公里/小时的速度向东北方向移动，预计北京时间30日12:20 - 13:00影响机场跑道和北头延长线，有小到中雷雨，并伴有大风、颠簸、风切变等。
合肥机场,2019/1/30 18:05,6,目前本场能见度1400米，RVR2000米，解除大雾机场警报。
南宁机场,2019/3/26 18:59,1,受高后回流影响，预计北京时26日19:00-21:00，南宁机场最低云底高45-60米（FEW-SCT量级），最低能见度1000-2000米。  
温州机场,2019/3/21 19:45,8,  影响温州机场的对流云团已经移出本场，取消21日19:11发布的07号机场警报（雷暴）。 
长沙机场,2019/3/21 2:53,1,在长沙机场西北面60公里处有强的成片对流云团，范围80*200km，云团顶高12-15公里，以30公里/小时的速度向东移动，强度不变，预计北京时间21日03:50 - 21日07:30影响长沙机场并出现雷雨天气。其间长沙机场还将出现中-大阵型降水，13-17m/s阵风，低空风切变等伴随天气。
虹桥机场,2019/3/26 4:01,1,受辐射降温影响，预计于北京时间26日05:30-26日08:00虹桥机场能见度下降至600-800米，RVR短时350-550米。预计于北京时间26日08:00能见度和RVR上升至800米以上。 
南昌机场,2019/3/21 17:00,4,受浅层低涡切变影响，目前本场已闻雷，回波主体位于本场南部5-20km处，回波顶高9-11km，后续向偏东方向移动，本场以闻雷为主，预计持续至18:30时。
北京机场,2019/3/20 17:20,3,影响北京机场的对流云团已经移出本场，解除20日16:20发布的02号机场警报（雷暴）。
兰州机场,2019/1/30 20:58,4,取消30日20:48发布的03号机场警报（雪）。
济南机场,2019/2/20 10:02,1,济南机场能见度已上升至1000米，取消20日06:19发布的02号机场警报（低能见度）。  
湛江机场,2019/3/23 8:20,2,  在湛江机场附近有大片中等强度对流云团，云团顶高8公里，以15公里/小时的速度向东移动，强度维持，预计本场中雷雨持续至北京时间09:30，其间湛江机场还将出现风向不定的7级大风，机场附近区域有风切变等伴随天气。
湛江机场,2019/3/23 6:27,1,  在湛江机场西面25公里处有块状较强对流云团，云团顶高8公里以上，以20公里/小时的速度向东移动，强度有所加强，预计北京时间07:00-08:30影响湛江机场，其间湛江机场还将出现中雷雨、风向不定的7级大风，机场附近区域有风切变等伴随天气。
呼和浩特白塔机场,2019/3/20 19:07,4,呼和浩特白塔机场目前转为西北风，风速减小至9米/秒，阵风14米/秒，取消20日16:14发布的03号机场警报（大风）。
南京机场,2019/3/20 10:45,2,  影响南京机场的对流云团已经移出本场，取消10:06发布的01号机场警报（雷暴）。
青岛机场,2019/3/20 7:12,3,本场当前实况为中雨天气，预计中雨天气持续至北京时间20日09:30。
厦门机场,2019/3/22 2:21,1, <气象台>2019年3月22日02:16机场大雾警报解除：厦门机场能见度已上升至4000米，云底高上升至120米，取消00:08发布的机场警报。
武汉机场,2019/3/21 12:22,1,预计北京时间21日12:30 - 21日17:30武汉机场将出现13米/秒的东北风，阵风15-17米/秒，其间武汉机场进近区域还将出现中度以上颠簸、风切变等伴随天气。
虹桥机场,2019/3/20 20:07,1,影响虹桥机场的对流云团已经移出本场，取消20日16:34发布的2号机场警报（雷暴）。 
合肥机场,2019/3/20 7:47,4,受高空槽以及低层急流影响，预计本场于20日09：00~11：00时有一次中等强度雷阵雨过程 
浦东机场,2019/3/20 19:31,1,在浦东机场西部及北部有对流云团发展，对流云团顶高9-10公里，以40公里/小时向偏东移动，强度不变，预计北京时间20日20:00-23:00浦东机场有间歇性雷雨，伴有短时大风或风切变。 
哈尔滨机场,2019/3/20 21:05,1,哈尔滨机场目前已出现小雪天气，主导能见度3500米，预计20日21时至23时有小雨夹雪，能见度1~4公里；20日23时至21日14时为连续性小雪，能见度1~4公里，期间21日02时~10时有短时中阵雪，能见度最低约600米。降雪期间地面风向为东北风，风向350-050度，平均风速4~8米/秒，阵风10~13米/秒，温度-9~0℃。请相关部门注意20日23时之前地面融雪的不利影响，同时关注跑道积雪结冰和航空器空中积冰！  
呼和浩特白塔机场,2019/2/20 11:25,1,影响呼和浩特白塔机场的霜天气已经结束，取消20日06:00发布的05号机场警报（霜）。
南昌机场,2019/2/19 19:07,2,影响南昌机场的对流云团已经移出本场，解除19日18:41发布的01号机场警报（雷暴）。
温州机场,2019/3/21 18:50,6, 在温州机场西侧15千米有较强的成片的雷暴云团，范围东北西南向100千米，宽60千米，云团顶高10-12千米，以40千米/小时向偏东北方向移动，强度不变，预计北京时间21日18:50至21日21:00影响机场，期间机场还将出现强降水天气。 
虹桥机场,2019/3/20 16:34,1,在虹桥机场西部有对流云团发展，对流云团顶高9-10公里，以40公里/小时向偏东移动，强度不变，预计北京时间20日17:00-22:00虹桥机场有间歇性雷雨，伴有短时大风或风切变。 
南昌机场,2019/3/21 18:29,5,目前，强对流回波位于本场东南侧，后续东移，本场仍听到雷声，延长上份雷雨警报至19:15时。 
沈阳机场,2019/2/19 20:59,3,沈阳机场的降雪天气已经结束，取消19日19:15发布的02号机场警报（雪）。 
兰州机场,2019/1/30 21:00,4,兰州机场目前已出现小雪天气，预计持续至北京时间31日04时，期间能见度最低4公里，跑道、飞行器还将出现积雪现象。
南昌机场,2019/3/21 8:17,1,影响南昌机场的对流云团已经移出本场，解除21日03:01发布的01号机场警报（雷暴）。
西宁机场,2019/3/20 18:16,2,西宁机场目前已出现大风天气，预计持续至北京时间20日20:30，期间会出现平均风速大于等于15m/s或阵风大于等于17m/s的偏东风，西宁机场进近区域还将出现中度以上颠簸等伴随天气。
南京机场,2019/3/20 14:49,5,"在南京机场西侧有对流云团东移, 范围南北带状分布,云团顶高8KM高度，以速度60公里/小时向东方向移动，强度维持，预计北京时间15:15―16:10影响南京机场，其间 南京机场还将出现阵性降水、大风等伴随天气。"
温州机场,2019/3/21 12:17,5,  影响温州机场的对流云团已经移出本场取消21日11:40发布的04号机场警报（雷暴）。 
南宁机场,2019/3/22 4:43,1,受辐射降温影响，南宁机场已出现大雾天气，预计北京时22日05:00-08:00，南宁机场能见度在500-1200米之间摆动，最低云底高30-50米（FEW-SCT量级）。
南宁机场,2019/3/26 22:38,3,目前南宁机场受到平流雾的影响，预计北京时26日23:00--27日01:00，南宁机场最低云底高在45米--60米（FEW-SCT量级）之间，最低能见度700米左右。
大连机场,2019/1/30 16:46,1,北京时间16：44，根据塔台报告，在大连机场跑道一边300米高度出现风切变，预计北京时间16：45-23：00大连机场将有短时风切变。
西安机场,2019/3/20 14:01,2,目前西安机场风向和风速趋于稳定，取消20日12:57发布的01号机场警报（风切变）。  
北京机场,2019/3/22 16:02,2,风切变警报：目前首都机场出现风切变，预计23日5时前本场及终端区维持短时风切变。
太原机场,2019/3/20 17:45,2,更正：受冷空气过境影响，太原机场已出现大风天气，北京时间3月20日16:50-20:00，平均风速8-10米/秒，风向区间在300度-350度之间，最大阵风15-18米/秒，其间进近区域将出现中度以上的颠簸。注意颠簸，低空风切变等伴随性天气对飞行的影响（大风）。  
宁波机场,2019/3/27 7:50,2,影响宁波机场的对流云团已经移出本场，目前本场西面左右仍有大范围对流性降水回波向偏东方向移动，预计27日09:00-09:30有短时中阵雨天气，解除27日06:56发布的01号机场警报（雷暴）。
昆明机场,2019/3/20 17:15,3,目前本场西南面30-45km范围内有隐嵌的雷暴发展，以约70-80公里/小时的速度向东偏北方向移动，预计北京时间3月20日17:25-18:00时影响机场跑道南头延长线，本场将出现干雷暴，并有大风、颠簸、风切变等伴随天气。 
福州机场,2019/3/21 13:02,2,影响福州机场的风切变已经结束，取消21日11:28发布的01号机场警报（风切变）。 
虹桥机场,2019/3/20 7:12,1,在虹桥机场周边25公里处有中等强度的分散块状的对流云团，云团顶高9公里，以40公里/小时向东北移动，强度不变，预计北京时间20日07:30--20日09:00影响机场，期间机场还将出现雷暴及强降水天气，并伴有风切变。 
呼和浩特白塔机场,2019/3/22 14:52,1,预计北京时间22日15:30 - 22日18:30呼和浩特白塔机场将出现12米/秒的西北风，阵风17米/秒，其间呼和浩特白塔机场进近区域还将出现中度以上颠簸、风切变等伴随天气。
石家庄正定机场,2019/2/20 0:00,1,预计北京时间20日01:00 - 20日09:00石家庄正定机场能见度低于500米。 
昆明机场,2019/3/20 15:00,2,目前本场西南面30-100km范围内有隐嵌的雷暴发展，以约80-100公里/小时的速度向东北方向移动，预计北京时间3月20日15:30-16:30时影响昆明机场，将出现有小阵雨伴雷暴，并有大风、颠簸、风切变等伴随天气。 
济南机场,2019/3/21 14:53,2,济南机场目前维持北风，风速减小至6至8米/秒，阵风11至13米/秒，取消21日09:08发布的01号机场警报（大风）。
北京机场,2019/3/23 6:16,3,北京机场目前转为西北风，风速减小至4-7米/秒，取消22日15:45发布的01号机场警报（大风）。 
成都机场,2019/3/22 2:52,2,影响机场的对流云团已经减弱，小阵雨还将持续至北京时间22日03:30，后续主要影响终端区2、3区，取消22日01:06发布的01号机场警报（风切变）。
呼和浩特白塔机场,2019/3/20 20:31,5,呼和浩特白塔机场目前已出现小阵雪天气，能见度5-8公里。预计北京时间20日20:29 - 20日22：30呼和浩特白塔机场将有短时小阵雪天气，能见度维持在5-8公里。
南昌机场,2019/3/21 3:01,1,受浅层切变影响，本场预计北京时间21日03:30至10:00时有间歇性雷雨天气，雷雨来时伴随短时强降水、大风、风切变、中度以上颠簸等天气，请各单位注意防范。
长沙机场,2019/3/21 14:50,4,预计长沙机场21日15：30-16：20将出现中阵雨天气。
贵阳机场,2019/3/21 16:23,2,受冷空气南下影响，预计21日17:00-19:30（北京时）贵阳机场跑道上空及五边区域存在低空风切变。
昆明机场,2019/1/30 20:32,5,受晴空辐射降温影响，预计本场31日06:20-09:30将出现霜，注意停场飞机机身及其他金属面轻度结冰，提醒关注并做好除冰工作。 
西宁机场,2019/3/20 19:40,3,西宁机场预计于20日20:30偏东风平均风速减小至12米/秒，阵风小于17米/秒，取消20日18:16发布的02号机场警报（大风）。
青岛机场,2019/3/21 16:34,2,"青岛机场平均风速已经<10m/s,阵风<15m/s，解除北京时间21日11:19发布的第1份天气警报(大风)。"
北京机场,2019/3/21 13:47,1,北京机场目前转为偏北风，风速减小至3-6米/秒，取消20日21:48发布的04号机场警报（大风）。 
武汉机场,2019/3/20 8:35,1,北京时间20日08:35，根据机组报告，在武汉机场22左跑道五边300米高度遭遇风切变。预计北京时间20日08:35 - 20日09:10武汉机场跑道上空将有风切变。
长春机场,2019/2/20 0:32,2,长春机场预计北京时间02：00降雪结束，取消19日18：52发布的降雪警报，目前已出现大雾天气，能见度500米，RVR800米，预计北京时间20日00:30 - 20日08:00长春机场能见度500-1000米。
厦门机场,2019/3/26 0:05,1, <气象台>2019年3月25日23:50发布机场大雾警报：预计北京时间26日02:00-08：00厦门机场将出现低云低能见度天气，最低能见度400-800米，伴低云，云底高100-200米；预计08:30-09:00能见度上升至3000米，云底高上升至450米。
太原机场,2019/3/20 16:53,1,受冷空气过境影响，太原机场已出现大风天气，北京时间3月20日16:50-20:00，平均风速8-10米/秒，风向区间在300度-350度之间，最大阵风15-18米/秒，其间进近区域将出现中度以上的颠簸。注意颠簸，低空风切变等伴随性天气对飞行的影响（大风）。  
南宁机场,2019/3/26 20:36,2,受高后回流影响，预计北京时26日21:00--27日03:00，南宁机场最低云底高在45米--60米（FEW-SCT量级）之间，最低能见度1200米左右。 
南昌机场,2019/2/19 23:54,4,在南昌机场西南60公里处有中等强度的分散对流云团，云团顶高8公里，以40公里/小时的速度向东北移动，强度不变，预计北京时间20日01:00 - 20日02:30影响南昌机场。其间南昌机场还将出现强降水，能见度1200米的低能见度等伴随天气。 
南昌机场,2019/2/19 18:41,1,在南昌机场西部15-25公里处有中等强度的分散对流云团，范围30km，云团顶高7-9公里，以公里20-25/小时的速度向东北方向移动，不断生消，强度有所增强，预计北京时间19日18:45-20:00影响南昌机场.
昆明机场,2019/1/30 14:06,3,目前本场西南面15-50km范围内有对流云发展，以约60-80公里/小时的速度向东北方向移动，预计北京时间30日14:15 - 15:00影响机场跑道和北头延长线，有小到中雷雨，并伴有大风、颠簸、风切变等。
南昌机场,2019/3/21 11:35,3,受浅层低涡切变影响，目前本场已闻雷，回波主体位于本场南部和西部，回波顶高9-11km，后续向偏东方向移动，预计持续至北京时间14:00时，期间有歇性雷雨天气，雷雨来时伴随短时强降水、风切变等天气，请各单位注意防范。  
青岛机场,2019/1/30 19:14,1,预计(北京时间)：30日21:30至31日03:30：青岛机场有小雪天气;其中30日23:00至31日00:30：短时有中雪;最低能见度600米。伴随天气或详细信息:31日00:00之后，跑道将出现积雪。
贵阳机场,2019/3/20 18:50,1,受本场北面对流云团影响，据机组报告五边遭遇风切变，预计北京时间20日19:30时前贵阳机场跑道上空及进近区域短时将出现低空风切变。
北京机场,2019/3/23 6:17,3,影响北京机场的风切变已经结束，取消22日16:02发布的02号机场警报（风切变）。 
北京机场,2019/3/20 14:06,1,首都机场西部50公里外有强的对流云团发展，云团顶高6-7公里，以25公里/小时的速度向东移动，强度不变，预计北京时间20日16:00- 20日17:30影响首都机场。
兰州机场,2019/2/20 7:01,1,兰州机场目前已出现霜，预计持续至北京时间20日10:00。
温州机场,2019/3/21 7:02,2,温州机场能见度已经上升至1500米，RVR已经上升至1600米以上。取消北京时间21日06:06发布的1号机场警报（低能见度）。 
合肥机场,2019/1/30 11:01,2,目前本场能见度700米，延长大雾警报至14：00时。
宁波机场,2019/3/26 6:58,2,宁波机场能见度已上升至以上，取消26日03:55发布的01号机场警报（低云低能见度）。
大连机场,2019/3/21 16:30,2,大连机场目前风速减小至7米每秒，取消06：13发布的01号机场警报（大风）。
杭州机场,2019/3/20 21:17,5, 本场目前弱雷雨，预计20日21:15-21：45本场有雷暴伴小阵雨。
太原机场,2019/3/20 20:28,3,太原机场目前西北大风形势减弱，平均风速8-9米/秒，阵风13米/秒，解除2019年3月20日发布的1号机场警报（大风）。  
昆明机场,2019/2/19 11:23,1,预计北京时间2019年2月19日11:30-20:00期间昆明机场平均风速10-14米/秒，短时阵风≥17米/秒，其间昆明机场进近区域还将出现短时中度及以上风切变和颠簸等伴随天气，提醒注意。
郑州机场,2019/1/30 15:59,4,预计北京时间30日17:00 - 31日05:00郑州机场将出现小到中雪天气，能见度维持在1公里左右。其间跑道、飞行器还将出现积雪、积冰现象。
北京机场,2019/3/20 16:20,2,目前首都机场雷雨，预计持续到17：30，终端区南部及西北部影响较大。 
大连机场,2019/3/27 6:53,3,北京时间27日06:48，根据塔台报告，在大连机场28号跑道一边，高度1000英尺处遭遇风切变，强度不明，机组提醒塔台，对航班无影响。
